"subID","interviewyear","household_number_in_house","unrelated_subset","interview_age","sex","LQ","handnessfactor","race_ethnicity","nih_fluidcogcomp_unadjusted","nih_fluidcogcomp_ageadjusted","nih_crycogcomp_unadjusted","nih_crycogcomp_ageadjusted","nih_cogfuncogcomp_unadj","nih_cogfuncogcomp_ageadj","nih_eccogcomp_unadjusted","nih_eccogcomp_ageadjusted","nih_totalcogcomp_unadjusted","nih_totalcogcomp_ageadjusted","site","mean_fd","age","interview_date","annual_fam_inc","povertyline","income.adj","ICV"
"HCD2203933",2017,"3","TRUE",219,"F",100,1,"Other",105,88,114,126,NA,NA,118,113,111,108,"UCLA",0.4557090087,18.25,"2017/10/1",80000,20420,3.9177277179236,1468125.4
"HCD2207840",2018,"4","TRUE",214,"F",100,1,"Hispanic",119,109,121,146,NA,NA,119,118,123,133,"Harvard",0.4765130714,17.8333333333333,"2018/4/1",68000,25100,2.70916334661355,1618177.41
"HCD2211932",2019,"3","TRUE",101,"F",100,1,"White",93,107,92,134,NA,NA,103,139,91,125,"UMinn",0.9177050521,8.41666666666667,"2019/1/1",72000,21330,3.37552742616034,1520375.79
"HCD2216437",2017,"3","TRUE",196,"F",100,1,"Other",126,125,100,110,NA,NA,111,104,115,120,"WashU",0.5573599295,16.3333333333333,"2017/10/1",180000,20420,8.81488736532811,1599132.3
"HCD2220428",2018,"5","TRUE",161,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.5427281058,13.4166666666667,"2018/1/1",360000,29420,12.2365737593474,1621009.33
"HCD2223131",2018,"1","TRUE",179,"M",100,1,"Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UCLA",0.8273590142,14.9166666666667,"2018/7/1",50000,12140,4.11861614497529,1624978.89
"HCD2229547",2017,"4","FALSE",115,"F",100,1,"White",105,119,86,110,NA,NA,96,112,94,117,"Harvard",0.7200614702,9.58333333333333,"2017/4/1",290000,24600,11.7886178861789,1454090.22
"HCD2236140",2017,"5","TRUE",121,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WashU",0.5097590735,10.0833333333333,"2017/7/1",3e+05,28780,10.4239054899236,1772753.49
"HCD2239247",2018,"4","FALSE",168,"M",100,1,"White",106,100,98,105,NA,NA,96,88,102,102,"UCLA",0.8781198116,14,"2018/4/1",30000,25100,1.19521912350598,1638770.94
"HCD2240030",2018,"7","FALSE",121,"M",100,1,"Black",76,70,89,107,NA,NA,80,86,79,86,"WashU",0.6990866639,10.0833333333333,"2018/1/1",36000,38060,0.945874934314241,1499481.99
"HCD2254243",2018,"5","TRUE",117,"M",100,1,"White",105,122,87,110,NA,NA,100,123,95,119,"Harvard",1.9908026887,9.75,"2018/10/1",210000,29420,7.13800135961931,1409831.68
