"label_17network","index","label","network_label","label_7network","index_17network","network_label_17network","averagerank.wholebrain","finalrank.wholebrain","averagerank.hemisphere","finalrank.hemisphere","dataorder","finalrank.wholebrainrank"
"17Networks_LH_DorsAttnA_TempOcc_2",1,"LH_Vis_1","Vis","7Networks_LH_Vis_1",61,"DorsAttnA",196.1,182,97,92,121,182
"17Networks_LH_DefaultC_PHC_2",2,"LH_Vis_2","Vis","7Networks_LH_Vis_2",193,"DefaultC",211.7,206,106.3,101,385,206
"17Networks_LH_VisCent_ExStr_1",3,"LH_Vis_3","Vis","7Networks_LH_Vis_3",1,"VisCent",151.1,109.5,75.8,55.5,1,109
"17Networks_LH_VisPeri_ExStrInf_1",4,"LH_Vis_4","Vis","7Networks_LH_Vis_4",13,"VisPeri",127.1,75,64.4,39,25,75
"17Networks_LH_VisCent_ExStr_2",5,"LH_Vis_5","Vis","7Networks_LH_Vis_5",2,"VisCent",105,53.5,52.2,26,3,53
"17Networks_LH_VisCent_ExStr_3",6,"LH_Vis_6","Vis","7Networks_LH_Vis_6",3,"VisCent",112.6,64,56.7,32,5,64
"17Networks_LH_DefaultC_PHC_3",7,"LH_Vis_7","Vis","7Networks_LH_Vis_7",194,"DefaultC",160.4,126,81.2,65,387,126
"17Networks_LH_DorsAttnA_TempOcc_4",8,"LH_Vis_8","Vis","7Networks_LH_Vis_8",63,"DorsAttnA",165.4,135,83.9,71,125,135
"17Networks_LH_VisCent_ExStr_4",9,"LH_Vis_9","Vis","7Networks_LH_Vis_9",4,"VisCent",84.3,24,41.7,12,7,24
"17Networks_LH_VisPeri_ExStrInf_2",10,"LH_Vis_10","Vis","7Networks_LH_Vis_10",14,"VisPeri",85.5,28,43.4,16,27,28
"17Networks_LH_VisPeri_ExStrInf_3",11,"LH_Vis_11","Vis","7Networks_LH_Vis_11",15,"VisPeri",83.6,22,42,13,29,22
"17Networks_LH_VisCent_ExStr_5",12,"LH_Vis_12","Vis","7Networks_LH_Vis_12",5,"VisCent",109.8,60,54.2,29,9,60
"17Networks_LH_VisPeri_ExStrInf_4",13,"LH_Vis_13","Vis","7Networks_LH_Vis_13",16,"VisPeri",123.9,73,61.3,34.5,31,73
"17Networks_LH_VisCent_ExStr_6",14,"LH_Vis_14","Vis","7Networks_LH_Vis_14",6,"VisCent",141.5,94,71.7,49,11,94
"17Networks_LH_VisCent_Striate_1",15,"LH_Vis_15","Vis","7Networks_LH_Vis_15",7,"VisCent",73.2,8,37,3,13,8
"17Networks_LH_VisPeri_ExStrInf_5",16,"LH_Vis_16","Vis","7Networks_LH_Vis_16",17,"VisPeri",100.1,44,50.6,25,33,44
"17Networks_LH_VisCent_ExStr_7",17,"LH_Vis_17","Vis","7Networks_LH_Vis_17",8,"VisCent",140.5,91.5,71.2,48,15,91
"17Networks_LH_VisPeri_StriCal_1",18,"LH_Vis_18","Vis","7Networks_LH_Vis_18",18,"VisPeri",63.4,3,31.7,2,35,3
"17Networks_LH_VisCent_ExStr_8",19,"LH_Vis_19","Vis","7Networks_LH_Vis_19",9,"VisCent",127.2,76.5,63.4,37,17,76
"17Networks_LH_DefaultC_Rsp_1",20,"LH_Vis_20","Vis","7Networks_LH_Vis_20",189,"DefaultC",147.9,103,74.4,51.5,377,103
"17Networks_LH_VisPeri_StriCal_2",21,"LH_Vis_21","Vis","7Networks_LH_Vis_21",19,"VisPeri",57.9,1,28.7,1,37,1
"17Networks_LH_VisPeri_ExStrSup_1",22,"LH_Vis_22","Vis","7Networks_LH_Vis_22",20,"VisPeri",76.8,12,38.1,5,39,12
"17Networks_LH_VisCent_ExStr_9",23,"LH_Vis_23","Vis","7Networks_LH_Vis_23",10,"VisCent",167.1,139,84.6,73,19,139
"17Networks_LH_VisCent_ExStr_10",24,"LH_Vis_24","Vis","7Networks_LH_Vis_24",11,"VisCent",74,9,37.9,4,21,9
"17Networks_LH_VisPeri_ExStrSup_2",25,"LH_Vis_25","Vis","7Networks_LH_Vis_25",21,"VisPeri",78.6,16,39.1,8.5,41,16
"17Networks_LH_VisPeri_ExStrSup_3",26,"LH_Vis_26","Vis","7Networks_LH_Vis_26",22,"VisPeri",87.5,29.5,43.6,17,43,30
"17Networks_LH_VisCent_ExStr_11",27,"LH_Vis_27","Vis","7Networks_LH_Vis_27",12,"VisCent",135,87,68.3,44,23,87
"17Networks_LH_DorsAttnA_ParOcc_2",28,"LH_Vis_28","Vis","7Networks_LH_Vis_28",65,"DorsAttnA",166.2,136,82.5,69,129,136
"17Networks_LH_VisPeri_ExStrSup_4",29,"LH_Vis_29","Vis","7Networks_LH_Vis_29",23,"VisPeri",92.2,36,46.4,19,45,36
"17Networks_LH_VisPeri_ExStrSup_5",30,"LH_Vis_30","Vis","7Networks_LH_Vis_30",24,"VisPeri",108.1,58,54.6,30,47,58
"17Networks_LH_DorsAttnA_SPL_2",31,"LH_Vis_31","Vis","7Networks_LH_Vis_31",67,"DorsAttnA",131.5,81,64.3,38,133,81
"17Networks_LH_SomMotB_Aud_1",32,"LH_SomMot_1","SomMot","7Networks_LH_SomMot_1",44,"SomMotB",199.8,189,100.8,97,87,189
"17Networks_LH_SomMotB_Aud_2",33,"LH_SomMot_2","SomMot","7Networks_LH_SomMot_2",45,"SomMotB",147.3,100,74.7,53,89,100
"17Networks_LH_SomMotB_Ins_1",34,"LH_SomMot_3","SomMot","7Networks_LH_SomMot_3",46,"SomMotB",191.5,177,96.4,90,91,177
"17Networks_LH_SomMotB_S2_1",35,"LH_SomMot_4","SomMot","7Networks_LH_SomMot_4",47,"SomMotB",185.3,170,92.3,87,93,170
"17Networks_LH_SomMotB_S2_2",36,"LH_SomMot_5","SomMot","7Networks_LH_SomMot_5",48,"SomMotB",131.6,82,66.5,41,95,82
"17Networks_LH_SomMotB_Aud_3",37,"LH_SomMot_6","SomMot","7Networks_LH_SomMot_6",49,"SomMotB",186.2,172,94.2,89,97,172
"17Networks_LH_SomMotB_Aud_4",38,"LH_SomMot_7","SomMot","7Networks_LH_SomMot_7",50,"SomMotB",160.8,127,81.4,66,99,127
"17Networks_LH_SomMotB_S2_3",39,"LH_SomMot_8","SomMot","7Networks_LH_SomMot_8",51,"SomMotB",122.3,70,61.5,36,101,70
"17Networks_LH_SomMotB_S2_4",40,"LH_SomMot_9","SomMot","7Networks_LH_SomMot_9",52,"SomMotB",176.5,154,88.6,79.5,103,154
"17Networks_LH_SomMotB_S2_5",41,"LH_SomMot_10","SomMot","7Networks_LH_SomMot_10",53,"SomMotB",149.5,107,75.8,55.5,105,107
"17Networks_LH_SomMotB_S2_6",42,"LH_SomMot_11","SomMot","7Networks_LH_SomMot_11",54,"SomMotB",173.5,148,87.7,78,107,148
"17Networks_LH_SomMotB_Cent_1",43,"LH_SomMot_12","SomMot","7Networks_LH_SomMot_12",55,"SomMotB",128.5,78,66,40,109,78
"17Networks_LH_SomMotB_Cent_2",44,"LH_SomMot_13","SomMot","7Networks_LH_SomMot_13",56,"SomMotB",132,84,67.9,43,111,84
"17Networks_LH_SomMotB_Cent_3",45,"LH_SomMot_14","SomMot","7Networks_LH_SomMot_14",57,"SomMotB",99.5,41,50.4,23.5,113,41
"17Networks_LH_DorsAttnB_PostC_2",46,"LH_SomMot_15","SomMot","7Networks_LH_SomMot_15",74,"DorsAttnB",163.9,131,81.6,67,147,131
"17Networks_LH_SomMotB_Cent_4",47,"LH_SomMot_16","SomMot","7Networks_LH_SomMot_16",58,"SomMotB",153.1,112,77.4,57,115,112
"17Networks_LH_SomMotB_Cent_5",48,"LH_SomMot_17","SomMot","7Networks_LH_SomMot_17",59,"SomMotB",109.5,59,56.1,31,117,59
"17Networks_LH_SomMotA_1",49,"LH_SomMot_18","SomMot","7Networks_LH_SomMot_18",25,"SomMotA",137.1,88,68.8,45,49,88
"17Networks_LH_SomMotA_2",50,"LH_SomMot_19","SomMot","7Networks_LH_SomMot_19",26,"SomMotA",96,38,48.6,20,51,38
"17Networks_LH_SomMotA_3",51,"LH_SomMot_20","SomMot","7Networks_LH_SomMot_20",27,"SomMotA",79.9,17,39.7,10,53,17
"17Networks_LH_SomMotA_4",52,"LH_SomMot_21","SomMot","7Networks_LH_SomMot_21",28,"SomMotA",119.6,68,61.3,34.5,55,68
"17Networks_LH_SomMotA_5",53,"LH_SomMot_22","SomMot","7Networks_LH_SomMot_22",29,"SomMotA",77.3,14,39,7,57,14
"17Networks_LH_SomMotA_6",54,"LH_SomMot_23","SomMot","7Networks_LH_SomMot_23",30,"SomMotA",105.3,55,53.3,28,59,55
"17Networks_LH_SomMotA_7",55,"LH_SomMot_24","SomMot","7Networks_LH_SomMot_24",31,"SomMotA",99.6,42,50,22,61,42
"17Networks_LH_SomMotA_8",56,"LH_SomMot_25","SomMot","7Networks_LH_SomMot_25",32,"SomMotA",157,118.5,78.4,59,63,118
"17Networks_LH_SomMotA_9",57,"LH_SomMot_26","SomMot","7Networks_LH_SomMot_26",33,"SomMotA",90.3,34,45.6,18,65,34
"17Networks_LH_DorsAttnB_PostC_6",58,"LH_SomMot_27","SomMot","7Networks_LH_SomMot_27",78,"DorsAttnB",133,86,66.8,42,155,86
"17Networks_LH_SomMotA_10",59,"LH_SomMot_28","SomMot","7Networks_LH_SomMot_28",34,"SomMotA",76.9,13,38.5,6,67,13
"17Networks_LH_SomMotA_11",60,"LH_SomMot_29","SomMot","7Networks_LH_SomMot_29",35,"SomMotA",104.5,51,52.4,27,69,51
"17Networks_LH_SomMotA_12",61,"LH_SomMot_30","SomMot","7Networks_LH_SomMot_30",36,"SomMotA",140.5,91.5,70.9,46,71,92
"17Networks_LH_SomMotA_13",62,"LH_SomMot_31","SomMot","7Networks_LH_SomMot_31",37,"SomMotA",80.1,18,41.2,11,73,18
"17Networks_LH_SomMotA_14",63,"LH_SomMot_32","SomMot","7Networks_LH_SomMot_32",38,"SomMotA",101.4,47,50.4,23.5,75,47
"17Networks_LH_SomMotA_15",64,"LH_SomMot_33","SomMot","7Networks_LH_SomMot_33",39,"SomMotA",82.4,19,42.6,14,77,19
"17Networks_LH_SomMotA_16",65,"LH_SomMot_34","SomMot","7Networks_LH_SomMot_34",40,"SomMotA",117.7,66,59,33,79,66
"17Networks_LH_SomMotA_17",66,"LH_SomMot_35","SomMot","7Networks_LH_SomMot_35",41,"SomMotA",76.3,11,39.1,8.5,81,11
"17Networks_LH_SomMotA_18",67,"LH_SomMot_36","SomMot","7Networks_LH_SomMot_36",42,"SomMotA",98,39,49.1,21,83,39
"17Networks_LH_SomMotA_19",68,"LH_SomMot_37","SomMot","7Networks_LH_SomMot_37",43,"SomMotA",85.3,27,43.2,15,85,27
"17Networks_LH_DorsAttnA_TempOcc_1",69,"LH_DorsAttn_Post_1","DorsAttn","7Networks_LH_DorsAttn_Post_1",60,"DorsAttnA",233.8,250,116.3,122,119,250
"17Networks_LH_DorsAttnA_TempOcc_3",70,"LH_DorsAttn_Post_2","DorsAttn","7Networks_LH_DorsAttn_Post_2",62,"DorsAttnA",238.7,262,117.7,125.5,123,262
"17Networks_LH_ContA_Temp_1",71,"LH_DorsAttn_Post_3","DorsAttn","7Networks_LH_DorsAttn_Post_3",121,"ContA",241.4,269,120.9,136,241,269
"17Networks_LH_DorsAttnA_ParOcc_1",72,"LH_DorsAttn_Post_4","DorsAttn","7Networks_LH_DorsAttn_Post_4",64,"DorsAttnA",157.9,121,79.6,61,127,121
"17Networks_LH_DorsAttnA_SPL_1",73,"LH_DorsAttn_Post_5","DorsAttn","7Networks_LH_DorsAttn_Post_5",66,"DorsAttnA",140.7,93,71.1,47,131,93
"17Networks_LH_DorsAttnB_PostC_3",74,"LH_DorsAttn_Post_6","DorsAttn","7Networks_LH_DorsAttn_Post_6",75,"DorsAttnB",224.7,235.5,112.5,114.5,149,235
"17Networks_LH_DorsAttnA_SPL_3",75,"LH_DorsAttn_Post_7","DorsAttn","7Networks_LH_DorsAttn_Post_7",68,"DorsAttnA",175.7,153,87.5,76,135,153
"17Networks_LH_DorsAttnB_PostC_4",76,"LH_DorsAttn_Post_8","DorsAttn","7Networks_LH_DorsAttn_Post_8",76,"DorsAttnB",149.8,108,74.8,54,151,108
"17Networks_LH_ContA_IPS_5",77,"LH_DorsAttn_Post_9","DorsAttn","7Networks_LH_DorsAttn_Post_9",126,"ContA",192.6,180,97.1,93,251,180
"17Networks_LH_DorsAttnA_SPL_4",78,"LH_DorsAttn_Post_10","DorsAttn","7Networks_LH_DorsAttn_Post_10",69,"DorsAttnA",192.2,179,96.5,91,137,179
"17Networks_LH_DorsAttnB_PostC_5",79,"LH_DorsAttn_Post_11","DorsAttn","7Networks_LH_DorsAttn_Post_11",77,"DorsAttnB",159.3,124,80.7,63,153,124
"17Networks_LH_DorsAttnA_SPL_5",80,"LH_DorsAttn_Post_12","DorsAttn","7Networks_LH_DorsAttn_Post_12",70,"DorsAttnA",181.5,162,91.3,84,139,162
"17Networks_LH_DorsAttnA_SPL_6",81,"LH_DorsAttn_Post_13","DorsAttn","7Networks_LH_DorsAttn_Post_13",71,"DorsAttnA",149.1,106,73.6,50,141,106
"17Networks_LH_DorsAttnA_SPL_7",82,"LH_DorsAttn_Post_14","DorsAttn","7Networks_LH_DorsAttn_Post_14",72,"DorsAttnA",161.5,129.5,80.9,64,143,129
"17Networks_LH_DorsAttnB_PostC_7",83,"LH_DorsAttn_Post_15","DorsAttn","7Networks_LH_DorsAttn_Post_15",79,"DorsAttnB",166.5,137,83.6,70,157,137
"17Networks_LH_DorsAttnB_PostC_8",84,"LH_DorsAttn_Post_16","DorsAttn","7Networks_LH_DorsAttn_Post_16",80,"DorsAttnB",152.9,111,77.9,58,159,111
"17Networks_LH_DorsAttnB_PostC_9",85,"LH_DorsAttn_Post_17","DorsAttn","7Networks_LH_DorsAttn_Post_17",81,"DorsAttnB",148.2,104.5,74.4,51.5,161,104
"17Networks_LH_DorsAttnB_FEF_1",86,"LH_DorsAttn_FEF_1","DorsAttn","7Networks_LH_DorsAttn_FEF_1",82,"DorsAttnB",184,167,92.1,86,163,167
"17Networks_LH_DorsAttnB_FEF_2",87,"LH_DorsAttn_FEF_2","DorsAttn","7Networks_LH_DorsAttn_FEF_2",83,"DorsAttnB",224.5,234,112.5,114.5,165,234
"17Networks_LH_DorsAttnB_FEF_3",88,"LH_DorsAttn_FEF_3","DorsAttn","7Networks_LH_DorsAttn_FEF_3",84,"DorsAttnB",200.9,192,100.9,98,167,192
"17Networks_LH_ContA_PFCd_1",89,"LH_DorsAttn_FEF_4","DorsAttn","7Networks_LH_DorsAttn_FEF_4",127,"ContA",219.6,225,110.4,109,253,225
"17Networks_LH_ContA_PFCl_1",90,"LH_DorsAttn_PrCv_1","DorsAttn","7Networks_LH_DorsAttn_PrCv_1",130,"ContA",230.9,245,115.9,119,259,245
"17Networks_LH_DorsAttnB_PrCv_1",91,"LH_DorsAttn_PrCv_2","DorsAttn","7Networks_LH_DorsAttn_PrCv_2",85,"DorsAttnB",232.2,247,116.1,120,169,247
"17Networks_LH_SalVentAttnA_ParOper_1",92,"LH_SalVentAttn_ParOper_1","SalVentAttn","7Networks_LH_SalVentAttn_ParOper_1",86,"SalVentAttnA",198.1,185,100.3,96,171,185
"17Networks_LH_SalVentAttnA_ParOper_2",93,"LH_SalVentAttn_ParOper_2","SalVentAttn","7Networks_LH_SalVentAttn_ParOper_2",87,"SalVentAttnA",238.1,261,118.1,127.5,173,261
"17Networks_LH_DorsAttnB_PostC_1",94,"LH_SalVentAttn_ParOper_3","SalVentAttn","7Networks_LH_SalVentAttn_ParOper_3",73,"DorsAttnB",216.8,218,110.6,110,145,218
"17Networks_LH_SalVentAttnA_ParOper_3",95,"LH_SalVentAttn_ParOper_4","SalVentAttn","7Networks_LH_SalVentAttn_ParOper_4",88,"SalVentAttnA",264.5,309,133.1,155,175,309
"17Networks_LH_TempPar_5",96,"LH_SalVentAttn_TempOcc_1","SalVentAttn","7Networks_LH_SalVentAttn_TempOcc_1",199,"TempPar",223.1,232,112.2,113,397,232
"17Networks_LH_LimbicA_TempPole_7",97,"LH_SalVentAttn_FrOperIns_1","SalVentAttn","7Networks_LH_SalVentAttn_FrOperIns_1",120,"LimbicA",217,219,109.8,106,239,219
"17Networks_LH_SalVentAttnA_Ins_1",98,"LH_SalVentAttn_FrOperIns_2","SalVentAttn","7Networks_LH_SalVentAttn_FrOperIns_2",89,"SalVentAttnA",219.6,225,110.2,107,177,224
"17Networks_LH_SalVentAttnB_Ins_2",99,"LH_SalVentAttn_FrOperIns_3","SalVentAttn","7Networks_LH_SalVentAttn_FrOperIns_3",105,"SalVentAttnB",274.1,325,135.4,157,209,325
"17Networks_LH_SalVentAttnA_Ins_2",100,"LH_SalVentAttn_FrOperIns_4","SalVentAttn","7Networks_LH_SalVentAttn_FrOperIns_4",90,"SalVentAttnA",258.5,298,130.6,151,179,298
"17Networks_LH_SalVentAttnA_Ins_3",101,"LH_SalVentAttn_FrOperIns_5","SalVentAttn","7Networks_LH_SalVentAttn_FrOperIns_5",91,"SalVentAttnA",228.1,241.5,113.2,116,181,242
"17Networks_LH_SalVentAttnA_Ins_4",102,"LH_SalVentAttn_FrOperIns_6","SalVentAttn","7Networks_LH_SalVentAttn_FrOperIns_6",92,"SalVentAttnA",222.2,230,111.3,112,183,230
"17Networks_LH_SalVentAttnB_Ins_3",103,"LH_SalVentAttn_FrOperIns_7","SalVentAttn","7Networks_LH_SalVentAttn_FrOperIns_7",106,"SalVentAttnB",236.9,256.5,118.5,130,211,256
"17Networks_LH_SalVentAttnA_FrOper_1",104,"LH_SalVentAttn_FrOperIns_8","SalVentAttn","7Networks_LH_SalVentAttn_FrOperIns_8",93,"SalVentAttnA",180.8,160,90.1,83,185,160
"17Networks_LH_SalVentAttnA_FrOper_2",105,"LH_SalVentAttn_FrOperIns_9","SalVentAttn","7Networks_LH_SalVentAttn_FrOperIns_9",94,"SalVentAttnA",239.6,264,119.5,132.5,187,264
"17Networks_LH_SalVentAttnB_PFCl_2",106,"LH_SalVentAttn_PFCl_1","SalVentAttn","7Networks_LH_SalVentAttn_PFCl_1",102,"SalVentAttnB",282.6,341.5,141.8,170,203,341
"17Networks_LH_SalVentAttnB_PFCmp_1",107,"LH_SalVentAttn_Med_1","SalVentAttn","7Networks_LH_SalVentAttn_Med_1",108,"SalVentAttnB",243.8,277.5,122.2,140,215,277
"17Networks_LH_SalVentAttnA_FrMed_1",108,"LH_SalVentAttn_Med_2","SalVentAttn","7Networks_LH_SalVentAttn_Med_2",98,"SalVentAttnA",212.1,207,106.9,103,195,207
"17Networks_LH_SalVentAttnA_ParMed_1",109,"LH_SalVentAttn_Med_3","SalVentAttn","7Networks_LH_SalVentAttn_Med_3",95,"SalVentAttnA",173.1,147,86.7,75,189,147
"17Networks_LH_SalVentAttnA_FrMed_2",110,"LH_SalVentAttn_Med_4","SalVentAttn","7Networks_LH_SalVentAttn_Med_4",99,"SalVentAttnA",234.5,252,116.2,121,197,252
"17Networks_LH_SalVentAttnA_ParMed_2",111,"LH_SalVentAttn_Med_5","SalVentAttn","7Networks_LH_SalVentAttn_Med_5",96,"SalVentAttnA",180,158,90,82,191,158
"17Networks_LH_SalVentAttnA_ParMed_3",112,"LH_SalVentAttn_Med_6","SalVentAttn","7Networks_LH_SalVentAttn_Med_6",97,"SalVentAttnA",159,123,79.3,60,193,123
"17Networks_LH_SalVentAttnA_FrMed_3",113,"LH_SalVentAttn_Med_7","SalVentAttn","7Networks_LH_SalVentAttn_Med_7",100,"SalVentAttnA",170.8,144,85.1,74,199,144
"17Networks_LH_LimbicB_OFC_1",114,"LH_Limbic_OFC_1","Limbic","7Networks_LH_Limbic_OFC_1",109,"LimbicB",242.2,273,121.5,137.5,217,273
"17Networks_LH_LimbicB_OFC_2",115,"LH_Limbic_OFC_2","Limbic","7Networks_LH_Limbic_OFC_2",110,"LimbicB",257.2,295,127.1,145,219,295
"17Networks_LH_LimbicB_OFC_3",116,"LH_Limbic_OFC_3","Limbic","7Networks_LH_Limbic_OFC_3",111,"LimbicB",264.3,308,131.5,152.5,221,308
"17Networks_LH_LimbicB_OFC_4",117,"LH_Limbic_OFC_4","Limbic","7Networks_LH_Limbic_OFC_4",112,"LimbicB",238,260,118.7,131,223,260
"17Networks_LH_LimbicB_OFC_5",118,"LH_Limbic_OFC_5","Limbic","7Networks_LH_Limbic_OFC_5",113,"LimbicB",282.6,341.5,141.1,168,225,342
"17Networks_LH_LimbicA_TempPole_1",119,"LH_Limbic_TempPole_1","Limbic","7Networks_LH_Limbic_TempPole_1",114,"LimbicA",242.7,275,120.8,135,227,275
"17Networks_LH_LimbicA_TempPole_2",120,"LH_Limbic_TempPole_2","Limbic","7Networks_LH_Limbic_TempPole_2",115,"LimbicA",236.9,256.5,118.1,127.5,229,257
"17Networks_LH_LimbicA_TempPole_3",121,"LH_Limbic_TempPole_3","Limbic","7Networks_LH_Limbic_TempPole_3",116,"LimbicA",233.7,249,116.9,124,231,249
"17Networks_LH_LimbicA_TempPole_4",122,"LH_Limbic_TempPole_4","Limbic","7Networks_LH_Limbic_TempPole_4",117,"LimbicA",260.3,300,130,150,233,300
"17Networks_LH_LimbicA_TempPole_5",123,"LH_Limbic_TempPole_5","Limbic","7Networks_LH_Limbic_TempPole_5",118,"LimbicA",234.2,251,118.4,129,235,251
"17Networks_LH_DefaultB_Temp_1",124,"LH_Limbic_TempPole_6","Limbic","7Networks_LH_Limbic_TempPole_6",167,"DefaultB",263.3,306,131.5,152.5,333,306
"17Networks_LH_LimbicA_TempPole_6",125,"LH_Limbic_TempPole_7","Limbic","7Networks_LH_Limbic_TempPole_7",119,"LimbicA",241.7,270,119.5,132.5,237,270
"17Networks_LH_DefaultC_PHC_1",126,"LH_Limbic_TempPole_8","Limbic","7Networks_LH_Limbic_TempPole_8",192,"DefaultC",175.2,152,88.6,79.5,383,152
"17Networks_LH_ContA_IPS_1",127,"LH_Cont_Par_1","Cont","7Networks_LH_Cont_Par_1",122,"ContA",205,198,102.2,99,243,198
"17Networks_LH_ContA_IPS_2",128,"LH_Cont_Par_2","Cont","7Networks_LH_Cont_Par_2",123,"ContA",277.9,330,139.5,165,245,330
"17Networks_LH_ContB_IPL_2",129,"LH_Cont_Par_3","Cont","7Networks_LH_Cont_Par_3",137,"ContB",278,331,138.5,163,273,331
"17Networks_LH_ContA_IPS_3",130,"LH_Cont_Par_4","Cont","7Networks_LH_Cont_Par_4",124,"ContA",232.8,248,116.7,123,247,248
"17Networks_LH_ContB_IPL_3",131,"LH_Cont_Par_5","Cont","7Networks_LH_Cont_Par_5",138,"ContB",219.3,222.5,110.3,108,275,223
"17Networks_LH_ContA_IPS_4",132,"LH_Cont_Par_6","Cont","7Networks_LH_Cont_Par_6",125,"ContA",217.5,221,109.7,105,249,221
"17Networks_LH_ContB_Temp_2",133,"LH_Cont_Temp_1","Cont","7Networks_LH_Cont_Temp_1",135,"ContB",323.1,397,161.8,199,269,397
"17Networks_LH_SalVentAttnB_OFC_1",134,"LH_Cont_OFC_1","Cont","7Networks_LH_Cont_OFC_1",107,"SalVentAttnB",286.1,348.5,142.5,174,213,348
"17Networks_LH_ContB_PFClv_1",135,"LH_Cont_PFCl_1","Cont","7Networks_LH_Cont_PFCl_1",140,"ContB",306.4,385,152.3,191,279,385
"17Networks_LH_ContA_PFClv_1",136,"LH_Cont_PFCl_2","Cont","7Networks_LH_Cont_PFCl_2",128,"ContA",275,327,137.3,162,255,327
"17Networks_LH_SalVentAttnB_PFCl_1",137,"LH_Cont_PFCl_3","Cont","7Networks_LH_Cont_PFCl_3",101,"SalVentAttnB",291.1,356,145.1,179.5,201,356
"17Networks_LH_ContB_PFClv_3",138,"LH_Cont_PFCl_4","Cont","7Networks_LH_Cont_PFCl_4",142,"ContB",286.3,350,143.2,176,283,350
"17Networks_LH_ContA_PFClv_2",139,"LH_Cont_PFCl_5","Cont","7Networks_LH_Cont_PFCl_5",129,"ContA",284.7,345,142.3,173,257,345
"17Networks_LH_ContA_PFCl_2",140,"LH_Cont_PFCl_6","Cont","7Networks_LH_Cont_PFCl_6",131,"ContA",255,292.5,127,144,261,293
"17Networks_LH_ContA_PFCl_3",141,"LH_Cont_PFCl_7","Cont","7Networks_LH_Cont_PFCl_7",132,"ContA",268.1,313,134.3,156,263,313
"17Networks_LH_SalVentAttnB_PFCl_3",142,"LH_Cont_PFCl_8","Cont","7Networks_LH_Cont_PFCl_8",103,"SalVentAttnB",301.4,381,150.9,188,205,381
"17Networks_LH_SalVentAttnB_Ins_1",143,"LH_Cont_PFCv_1","Cont","7Networks_LH_Cont_PFCv_1",104,"SalVentAttnB",272.4,319,136.1,161,207,319
"17Networks_LH_ContC_pCun_2",144,"LH_Cont_pCun_1","Cont","7Networks_LH_Cont_pCun_1",145,"ContC",164.1,132,81.9,68,289,132
"17Networks_LH_ContC_pCun_3",145,"LH_Cont_pCun_2","Cont","7Networks_LH_Cont_pCun_2",146,"ContC",170.5,143,84.4,72,291,143
"17Networks_LH_ContA_Cingm_1",146,"LH_Cont_Cing_1","Cont","7Networks_LH_Cont_Cing_1",133,"ContA",175,151,87.6,77,265,151
"17Networks_LH_ContC_Cingp_2",147,"LH_Cont_Cing_2","Cont","7Networks_LH_Cont_Cing_2",148,"ContC",160.9,128,80.4,62,295,128
"17Networks_LH_ContB_PFCmp_1",148,"LH_Cont_PFCmp_1","Cont","7Networks_LH_Cont_PFCmp_1",143,"ContB",290.7,355,145.1,179.5,285,355
"17Networks_LH_DefaultB_Temp_2",149,"LH_Default_Temp_1","Default","7Networks_LH_Default_Temp_1",168,"DefaultB",292.4,362.5,145.3,181,335,363
"17Networks_LH_DefaultB_Temp_3",150,"LH_Default_Temp_2","Default","7Networks_LH_Default_Temp_2",169,"DefaultB",349.7,400,174,200,337,400
"17Networks_LH_ContB_Temp_1",151,"LH_Default_Temp_3","Default","7Networks_LH_Default_Temp_3",134,"ContB",305.4,384,151.6,189,267,384
"17Networks_LH_DefaultB_Temp_4",152,"LH_Default_Temp_4","Default","7Networks_LH_Default_Temp_4",170,"DefaultB",317.3,394,158.1,198,339,394
"17Networks_LH_TempPar_1",153,"LH_Default_Temp_5","Default","7Networks_LH_Default_Temp_5",195,"TempPar",257.4,296,129.1,146,389,296
"17Networks_LH_DefaultB_Temp_5",154,"LH_Default_Temp_6","Default","7Networks_LH_Default_Temp_6",171,"DefaultB",293.4,364,146.7,182,341,364
"17Networks_LH_DefaultB_Temp_6",155,"LH_Default_Temp_7","Default","7Networks_LH_Default_Temp_7",172,"DefaultB",243.8,277.5,122.9,141,343,278
"17Networks_LH_TempPar_2",156,"LH_Default_Temp_8","Default","7Networks_LH_Default_Temp_8",196,"TempPar",214.6,210,106.5,102,391,210
"17Networks_LH_TempPar_3",157,"LH_Default_Temp_9","Default","7Networks_LH_Default_Temp_9",197,"TempPar",211.3,205,106.1,100,393,205
"17Networks_LH_TempPar_4",158,"LH_Default_Temp_10","Default","7Networks_LH_Default_Temp_10",198,"TempPar",241.8,271,122.1,139,395,271
"17Networks_LH_TempPar_6",159,"LH_Default_Par_1","Default","7Networks_LH_Default_Par_1",200,"TempPar",219.6,225,110.7,111,399,226
"17Networks_LH_DefaultB_IPL_1",160,"LH_Default_Par_2","Default","7Networks_LH_Default_Par_2",173,"DefaultB",237.9,258.5,117.7,125.5,345,259
"17Networks_LH_DefaultC_IPL_1",161,"LH_Default_Par_3","Default","7Networks_LH_Default_Par_3",188,"DefaultC",227.4,239,113.3,117,375,239
"17Networks_LH_DefaultA_IPL_1",162,"LH_Default_Par_4","Default","7Networks_LH_Default_Par_4",149,"DefaultA",260.5,302.5,129.9,149,297,303
"17Networks_LH_DefaultB_IPL_2",163,"LH_Default_Par_5","Default","7Networks_LH_Default_Par_5",174,"DefaultB",305.2,383,152.5,192,347,383
