"label_17network","index","label","network_label","label_7network","index_17network","network_label_17network","averagerank.wholebrain","finalrank.wholebrain","averagerank.hemisphere","finalrank.hemisphere","dataorder","finalrank.wholebrainrank"
"17Networks_RH_SomMotB_Cent_1",245,"RH_SomMot_15","SomMot","7Networks_RH_SomMot_15",256,"SomMotB",177.1,156,89.8,77,112,156
"17Networks_RH_SomMotB_Cent_2",246,"RH_SomMot_16","SomMot","7Networks_RH_SomMot_16",257,"SomMotB",100.7,46,50,20.5,114,46
"17Networks_RH_DorsAttnB_PostC_1",247,"RH_SomMot_17","SomMot","7Networks_RH_SomMot_17",274,"DorsAttnB",161.5,129.5,80.3,64,148,130
"17Networks_RH_SomMotB_Cent_3",248,"RH_SomMot_18","SomMot","7Networks_RH_SomMot_18",258,"SomMotB",111.3,63,54.5,31,116,63
"17Networks_RH_SomMotA_1",249,"RH_SomMot_19","SomMot","7Networks_RH_SomMot_19",224,"SomMotA",140.3,90,70.7,45,48,90
"17Networks_RH_SalVentAttnA_ParMed_1",250,"RH_SomMot_20","SomMot","7Networks_RH_SomMot_20",297,"SalVentAttnA",172.9,146,87.1,73,194,146
"17Networks_RH_SomMotA_2",251,"RH_SomMot_21","SomMot","7Networks_RH_SomMot_21",225,"SomMotA",85,26,42.9,12,50,26
"17Networks_RH_SomMotA_3",252,"RH_SomMot_22","SomMot","7Networks_RH_SomMot_22",226,"SomMotA",109.9,61,54.7,32,52,61
"17Networks_RH_SomMotA_4",253,"RH_SomMot_23","SomMot","7Networks_RH_SomMot_23",227,"SomMotA",106,57,52.9,28,54,57
"17Networks_RH_SomMotA_5",254,"RH_SomMot_24","SomMot","7Networks_RH_SomMot_24",228,"SomMotA",145.2,96.5,73.1,47,56,97
"17Networks_RH_SomMotA_6",255,"RH_SomMot_25","SomMot","7Networks_RH_SomMot_25",229,"SomMotA",63.7,4,31.9,2,58,4
"17Networks_RH_SomMotA_7",256,"RH_SomMot_26","SomMot","7Networks_RH_SomMot_26",230,"SomMotA",83.9,23,42.3,10.5,60,23
"17Networks_RH_SomMotA_8",257,"RH_SomMot_27","SomMot","7Networks_RH_SomMot_27",231,"SomMotA",102.2,48.5,51.6,25,62,49
"17Networks_RH_SomMotA_9",258,"RH_SomMot_28","SomMot","7Networks_RH_SomMot_28",232,"SomMotA",120.7,69,61.1,35,64,69
"17Networks_RH_SomMotA_10",259,"RH_SomMot_29","SomMot","7Networks_RH_SomMot_29",233,"SomMotA",60.6,2,30.4,1,66,2
"17Networks_RH_SomMotA_11",260,"RH_SomMot_30","SomMot","7Networks_RH_SomMot_30",234,"SomMotA",91.3,35,45.7,17,68,35
"17Networks_RH_SomMotA_12",261,"RH_SomMot_31","SomMot","7Networks_RH_SomMot_31",235,"SomMotA",123.6,71,62.2,38,70,71
"17Networks_RH_SomMotA_13",262,"RH_SomMot_32","SomMot","7Networks_RH_SomMot_32",236,"SomMotA",105.6,56,53.2,29,72,56
"17Networks_RH_SomMotA_14",263,"RH_SomMot_33","SomMot","7Networks_RH_SomMot_33",237,"SomMotA",88,31,43.7,13,74,31
"17Networks_RH_SomMotA_15",264,"RH_SomMot_34","SomMot","7Networks_RH_SomMot_34",238,"SomMotA",71.1,6,35.1,4,76,6
"17Networks_RH_SomMotA_16",265,"RH_SomMot_35","SomMot","7Networks_RH_SomMot_35",239,"SomMotA",92.8,37,46.5,18,78,37
"17Networks_RH_SomMotA_17",266,"RH_SomMot_36","SomMot","7Networks_RH_SomMot_36",240,"SomMotA",132.3,85,65.9,43,80,85
"17Networks_RH_DorsAttnB_PostC_8",267,"RH_SomMot_37","SomMot","7Networks_RH_SomMot_37",281,"DorsAttnB",151.1,109.5,75.6,54,162,110
"17Networks_RH_SomMotA_18",268,"RH_SomMot_38","SomMot","7Networks_RH_SomMot_38",241,"SomMotA",78.3,15,38,7,82,15
"17Networks_RH_SomMotA_19",269,"RH_SomMot_39","SomMot","7Networks_RH_SomMot_39",242,"SomMotA",82.5,20,40.7,8,84,20
"17Networks_RH_SomMotA_20",270,"RH_SomMot_40","SomMot","7Networks_RH_SomMot_40",243,"SomMotA",88.9,32,45.2,15,86,32
"17Networks_RH_DorsAttnA_TempOcc_2",271,"RH_DorsAttn_Post_1","DorsAttn","7Networks_RH_DorsAttn_Post_1",260,"DorsAttnA",224.4,233,113.4,122,120,233
"17Networks_RH_DorsAttnB_TempOcc_1",272,"RH_DorsAttn_Post_2","DorsAttn","7Networks_RH_DorsAttn_Post_2",273,"DorsAttnB",241,266,120.3,134,146,266
"17Networks_RH_DorsAttnA_ParOcc_2",273,"RH_DorsAttn_Post_3","DorsAttn","7Networks_RH_DorsAttn_Post_3",263,"DorsAttnA",208,200,104.4,101,126,200
"17Networks_RH_DefaultC_IPL_2",274,"RH_DorsAttn_Post_4","DorsAttn","7Networks_RH_DorsAttn_Post_4",386,"DefaultC",212.4,208,105.9,106,372,208
